OBJECTID,SA3,SA2,Scenario,FY21,FY22,FY23,FY24,FY25,FY26,FY27,FY28,FY29,FY30,SA2_CODE21,SA2_NAME21,CHG_FLAG21,CHG_LBL21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,Shape__Area,Shape__Length
102,Tuggeranong,Tuggeranong - West,Conservative,0,0,0,0,0,0,0,0,0,0,801071132,Tuggeranong - West,0,No change,80107,Tuggeranong,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,9.2083,http://linked.data.gov.au/dataset/asgsed3/SA2/801071132,9208668.63598633,19341.4190675666
103,Weston Creek,Chapman,Conservative,10,17,27,40,59,83,114,151,196,248,801081091,Chapman,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.8558,http://linked.data.gov.au/dataset/asgsed3/SA2/801081091,1855981.60766602,8785.70211503184
104,Weston Creek,Duffy,Conservative,9,15,24,37,55,78,109,146,191,245,801081092,Duffy,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.7964,http://linked.data.gov.au/dataset/asgsed3/SA2/801081092,2796880.83789063,7788.54381442869
105,Weston Creek,Fisher,Conservative,7,12,20,31,46,66,93,126,167,218,801081093,Fisher,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5822,http://linked.data.gov.au/dataset/asgsed3/SA2/801081093,1582613.26904297,5460.0887925975
106,Weston Creek,Holder,Conservative,7,11,18,29,43,62,87,119,158,205,801081094,Holder,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.8719,http://linked.data.gov.au/dataset/asgsed3/SA2/801081094,1871960.38110352,5758.0571192005
107,Weston Creek,Rivett,Conservative,7,13,20,32,47,68,96,131,175,228,801081095,Rivett,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.6106,http://linked.data.gov.au/dataset/asgsed3/SA2/801081095,1610377.12426758,5248.88759692356
108,Weston Creek,Stirling,Conservative,5,8,14,21,31,45,62,85,112,146,801081096,Stirling,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.3226,http://linked.data.gov.au/dataset/asgsed3/SA2/801081096,1322681.29931641,4564.59425175995
109,Weston Creek,Waramanga,Conservative,7,11,18,28,42,61,85,115,152,196,801081097,Waramanga,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.7098,http://linked.data.gov.au/dataset/asgsed3/SA2/801081097,1710006.26318359,5179.70315017728
110,Weston Creek,Weston,Conservative,10,18,29,45,68,98,138,188,251,329,801081098,Weston,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.8462,http://linked.data.gov.au/dataset/asgsed3/SA2/801081098,3846823.39233398,10201.4975313809
111,Weston Creek,Scrivener,Conservative,0,0,0,0,0,0,0,0,0,0,801081133,Scrivener,0,No change,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5532,http://linked.data.gov.au/dataset/asgsed3/SA2/801081133,1553360.32177734,6684.74917618149
112,Woden Valley,Chifley,Conservative,8,14,23,36,55,80,113,157,212,279,801091099,Chifley,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5889,http://linked.data.gov.au/dataset/asgsed3/SA2/801091099,1588992.43066406,5095.14326229533
113,Woden Valley,Curtin,Conservative,22,36,58,89,131,186,256,342,446,569,801091100,Curtin,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.8079,http://linked.data.gov.au/dataset/asgsed3/SA2/801091100,4808054.44140625,9863.48764722237
114,Woden Valley,Farrer,Conservative,12,21,34,52,78,111,155,210,277,357,801091101,Farrer,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.0687,http://linked.data.gov.au/dataset/asgsed3/SA2/801091101,2069047.19848633,6437.21244548943
115,Woden Valley,Garran,Conservative,17,28,45,69,100,142,194,257,333,420,801091102,Garran,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.6965,http://linked.data.gov.au/dataset/asgsed3/SA2/801091102,2696663.73608398,9648.14752166972
116,Woden Valley,Hughes,Conservative,13,22,35,53,78,111,152,203,263,334,801091103,Hughes,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.7894,http://linked.data.gov.au/dataset/asgsed3/SA2/801091103,1789709.24389648,5570.28574780263
117,Woden Valley,Isaacs,Conservative,9,14,23,35,52,73,101,135,177,226,801091104,Isaacs,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.0881,http://linked.data.gov.au/dataset/asgsed3/SA2/801091104,3088337.27294922,7853.46958835771
118,Woden Valley,Lyons (ACT),Conservative,9,15,25,39,59,85,120,166,223,293,801091105,Lyons (ACT),0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.2619,http://linked.data.gov.au/dataset/asgsed3/SA2/801091105,2261959.22436523,6661.13561191795
119,Woden Valley,Mawson,Conservative,11,19,30,47,70,100,140,191,254,330,801091106,Mawson,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.1128,http://linked.data.gov.au/dataset/asgsed3/SA2/801091106,2113085.08789063,6045.05647067287
120,Woden Valley,O'Malley,Conservative,0,0,0,0,0,0,0,0,0,0,801091107,O'Malley,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.6068,http://linked.data.gov.au/dataset/asgsed3/SA2/801091107,2607034.1105957,7590.51370587859
121,Woden Valley,Pearce,Conservative,10,17,28,43,63,91,127,172,227,293,801091108,Pearce,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.7032,http://linked.data.gov.au/dataset/asgsed3/SA2/801091108,1703507.40405273,5537.00731581757
122,Woden Valley,Phillip,Conservative,13,23,39,61,93,137,197,275,374,497,801091109,Phillip,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.5749,http://linked.data.gov.au/dataset/asgsed3/SA2/801091109,2575177.1953125,6823.92912940807
123,Woden Valley,Torrens,Conservative,7,13,21,32,48,70,99,135,180,235,801091110,Torrens,0,No change,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.3013,http://linked.data.gov.au/dataset/asgsed3/SA2/801091110,1301236.50146484,4889.97226148007
124,Molonglo,Arboretum,Conservative,0,0,0,0,0,0,0,0,0,0,801101134,Arboretum,0,No change,80110,Molonglo,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,6.0368,http://linked.data.gov.au/dataset/asgsed3/SA2/801101134,6037272.94018555,14917.1700883532
125,Molonglo,Coombs,Conservative,5,8,13,20,30,43,60,81,108,139,801101135,Coombs,0,No change,80110,Molonglo,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.3178,http://linked.data.gov.au/dataset/asgsed3/SA2/801101135,2317846.71166992,7408.97293026167
126,Molonglo,Denman Prospect,Conservative,1,2,4,6,9,13,19,25,34,44,801101136,Denman Prospect,0,No change,80110,Molonglo,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.7438,http://linked.data.gov.au/dataset/asgsed3/SA2/801101136,4743856.30517578,11737.0120897375
127,Molonglo,Molonglo,Conservative,0,0,0,0,0,0,0,0,0,0,801101137,Molonglo,0,No change,80110,Molonglo,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.1894,http://linked.data.gov.au/dataset/asgsed3/SA2/801101137,2189464.07983398,6986.25425241795
128,Molonglo,Wright,Conservative,5,8,13,20,30,43,60,81,107,139,801101139,Wright,0,No change,80110,Molonglo,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.2716,http://linked.data.gov.au/dataset/asgsed3/SA2/801101139,1271761.36694336,6547.35553535797
129,Urriarra - Namadgi,ACT - South West,Conservative,1,2,3,4,6,8,12,16,21,27,801111140,ACT - South West,0,No change,80111,Uriarra - Namadgi,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,416.7824,http://linked.data.gov.au/dataset/asgsed3/SA2/801111140,416773562.051758,150255.896766869
130,Urriarra - Namadgi,Namadgi,Conservative,0,0,0,0,0,1,1,1,2,2,801111141,Namadgi,0,No change,80111,Uriarra - Namadgi,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1202.7527,http://linked.data.gov.au/dataset/asgsed3/SA2/801111141,1202702942.66504,246663.000882932
